3,child in a pink dress is climbing up a set of stairs in an entry way .
0,girl going into a wooden building .
0,little girl climbing into a wooden playhouse .
1,little girl climbing the stairs to her playhouse .
3,little girl in a pink dress going into a wooden cabin .
7,black dog and a spotted dog are fighting
7,black dog and a tri-colored dog playing with each other on the road .
7,black dog and a white dog with brown spots are staring at each other in the street .
1,dogs of different breeds looking at each other on the road .
5,dogs on pavement moving toward each other .
3,little girl covered in paint sits in front of a painted rainbow with her hands in a bowl .
6,little girl is sitting in front of a large painted rainbow .
3,small girl in the grass plays with fingerpaints in front of a white canvas with a rainbow on it .
3,is a girl with pigtails sitting in front of a rainbow painting .
8,girl with pigtails painting outside in the grass .
5,man lays on a bench while his dog sits by him .
5,man lays on the bench to which a white dog is also tied .
4,man sleeping on a bench outside with a white and black dog sitting next to him .
5,shirtless man lies on a park bench with his dog .
5,laying on bench holding leash of dog sitting on ground
0,man in an orange hat starring at something .
2,man wears an orange hat and glasses .
2,man with gauges and glasses is wearing a Blitz hat .
0,man with glasses is wearing a beer can crocheted hat .
2,man with pierced ears is wearing glasses and an orange hat .
5,child playing on a rope net .
5,little girl climbing on red roping .
8,little girl in pink climbs a rope bridge at the park .
1,small child grips onto the red ropes at the playground .
5,small child climbs on a red ropes on a playground .
7,black and white dog is running in a grassy garden surrounded by a white fence .
7,black and white dog is running through the grass .
8,Boston terrier is running in the grass .
6,Boston Terrier is running on lush green grass in front of a white fence .
5,dog runs on the green grass near a wooden fence .
7,dog shakes its head near the shore , a red ball next to it .
7,white dog shakes on the edge of a beach with an orange ball .
5,with orange ball at feet , stands on shore shaking off water
1,dog playing with a red ball on the shore near the water .
7,dog with brown ears standing near water with head turned to one side .
3,boy smiles in front of a stony wall in a city .
3,little boy is standing on the street while a man in overalls is working on a stone wall .
1,young boy runs aross the street .
4,young child is walking on a stone paved street with a metal pole and a man behind him .
8,boy in white shirt and blue jeans in front of rock wall with man in overalls behind him .
7,black dog leaps over a log .
7,grey dog is leaping over a fallen tree .
7,large black dog leaps a fallen log .
3,mottled black and grey dog in a blue collar jumping over a fallen tree .
1,black dog jumped the tree stump .
7,brown and white dog is running through the snow .
8,dog is running in the snow
7,dog running through snow .
7,white and brown dog is running through a snow covered field .
1,white and brown dog is running over the surface of the snow .
3,man in a hat is displaying pictures next to a skier in a blue hat .
8,man skis past another man displaying paintings in the snow .
8,person wearing skis looking at framed pictures set up in the snow .
8,skier looks at framed pictures in the snow next to trees .
8,on skis looking at artwork for sale in the snow
6,collage of one person climbing a cliff .
6,group of people are rock climbing on a rock climbing wall .
6,group of people climbing a rock while one man belays
9,climbers are ascending a rock face whilst another man stands holding the rope .
8,climbers in a row are climbing the rock while the man in red watches and holds the line .
4,brown dog chases the water from a sprinkler on a lawn .
1,brown dog plays with the hose .
4,brown dog running on a lawn near a garden hose
7,dog is playing with a hose .
8,brown dog running away from the sprinkler in the grass .
3,dog prepares to catch a thrown object in a field with nearby cars .
7,white dog is about to catch a yellow ball in its mouth .
7,white dog is about to catch a yellow dog toy .
7,white dog is ready to catch a yellow ball flying through the air .
7,white dog running after a yellow ball
7,black and white dog jumping in the air to get a toy .
7,black and white dog jumps up towards a yellow toy .
3,dog leaps to catch a ball in a field .
3,white dog is trying to catch a ball in midair over a grassy field .
3,white dog is playing in a green field with a yellow toy .
3,child and a woman are at waters edge in a big city .
6,large lake with a lone duck swimming in it with several people around the edge of it .
4,little boy at a lake watching a duck .
8,young boy waves his hand at the duck in the water surrounded by a green park .
1,people are at the edge of a lake , facing the water and the city skyline .
4,couple and an infant , being held by the male , sitting next to a pond with a near by stroller .
5,couple sit on the grass with a baby and stroller .
4,couple with their newborn baby sitting under a tree facing a lake .
6,man and woman care for an infant along the side of a body of water .
0,with a baby sit outdoors next to their stroller .
8,black dog running in the surf .
8,black lab with tags frolicks in the water .
8,dog splashes in the water
1,black dog runs through the water .
7,is a black dog splashing in the water .
8,man drilling a hole in the ice .
6,man is drilling through the frozen ice of a pond .
8,person in the snow drilling a hole in the ice .
5,person standing on a frozen lake .
9,men are ice fishing .
1,different breeds of brown and white dogs play on the beach .
4,dogs are making a turn on a soft sand beach .
8,dogs playing in the sand at the beach .
5,dogs playing together on a beach .
0,large tan dogs play along a sandy beach .
2,man uses ice picks and crampons to scale ice .
3,ice climber in a blue jacket and black pants is scaling a frozen ice wall .
0,ice climber scaling a frozen waterfall .
2,person in blue and red ice climbing with two picks .
0,climbing an ice wall
7,black dog carries a green toy in his mouth as he walks through the grass .
1,black dog carrying something through the grass .
7,black dog has a blue toy in its mouth .
8,dog in grass with a blue item in his mouth .
7,wet black dog is carrying a green toy through the grass .
